,filename,country,wealthpooled,urban,label,nl_mean
0,image14517.npz,6,-1.019360899925232,False,0,-0.0866333246231079
2,image7407.npz,6,-1.1430020332336426,False,0,-0.141588807106018
3,image390.npz,6,1.0567690134048462,True,0,15.22889804840088
4,image7980.npz,6,1.4540644884109497,True,1,11.082343101501465
5,image13397.npz,6,1.70844566822052,True,1,12.646743774414062
6,image814.npz,6,1.701109528541565,True,1,5.055367469787598
7,image19332.npz,6,1.5477131605148315,True,1,12.907397270202637
9,image16934.npz,6,1.7062891721725464,True,1,13.142542839050291
10,image16842.npz,6,1.294609546661377,True,0,6.457484245300293
12,image12438.npz,6,1.166226148605347,True,0,6.056130409240723
13,image18643.npz,6,-0.9555330276489258,False,0,-0.1738624721765518
14,image469.npz,6,1.4724743366241455,True,1,6.625431060791016
15,image4101.npz,6,1.2454146146774292,True,0,5.198253631591797
16,image3819.npz,6,2.237006425857544,True,1,6.319383144378662
17,image4415.npz,6,1.474272608757019,True,1,5.65537166595459
18,image266.npz,6,0.9874122738838196,True,0,3.2829627990722656
19,image13449.npz,6,0.1586989760398864,False,1,0.913757860660553
21,image5255.npz,6,-1.1492959260940552,False,0,-0.0360447242856025
22,image18379.npz,6,1.0329792499542236,True,0,1.9931355714797971
23,image1838.npz,6,1.302539944648743,True,1,1.979741096496582
25,image15812.npz,6,0.0344385989010334,False,1,-0.1738624721765518
26,image3077.npz,6,-0.622969925403595,False,0,-0.1738624721765518
27,image3269.npz,6,1.009210467338562,True,0,0.5583491325378418
28,image12591.npz,6,1.383258819580078,True,1,0.5267964005470276
29,image5297.npz,6,-1.1446328163146973,False,0,-0.1720145493745803
30,image16413.npz,6,0.2115498185157776,False,1,-0.0116533506661653
31,image17542.npz,6,-1.1664820909500122,False,0,-0.1738624721765518
33,image4717.npz,6,-1.1195242404937744,False,0,-0.1738624721765518
34,image10184.npz,6,-1.192052125930786,False,0,-0.1738624721765518
35,image8733.npz,6,-0.8104405999183655,False,0,-0.1308957189321518
36,image15574.npz,6,1.155054211616516,True,0,0.0916124284267425
37,image4486.npz,6,1.426868557929993,True,1,0.0794785618782043
38,image8530.npz,6,-0.6612209677696228,False,0,-0.1738624721765518
39,image12986.npz,6,-0.7377237677574158,False,0,-0.1738624721765518
40,image18138.npz,6,1.1365702152252195,True,0,2.4250805377960205
41,image7013.npz,6,1.8642486333847048,True,1,2.5262610912323
44,image8377.npz,6,1.5419613122940063,True,1,2.5661890506744385
46,image13798.npz,6,0.4090491831302643,False,1,-0.1738624721765518
47,image19597.npz,6,1.6719748973846436,True,1,2.462773561477661
48,image17643.npz,6,1.5782244205474854,True,1,2.3894708156585693
50,image1872.npz,6,0.8000375032424927,True,0,0.2274725437164306
51,image10188.npz,6,-1.0302139520645142,False,0,0.0390627048909664
52,image69.npz,6,-0.8401835560798645,False,0,-0.1736888289451599
54,image9462.npz,6,-0.0734699144959449,False,1,0.4020571112632751
55,image18449.npz,6,0.7216727137565613,False,1,0.3387101590633392
58,image15526.npz,6,1.879343867301941,True,1,2.9728682041168213
59,image13981.npz,6,1.7493174076080322,True,1,3.318198680877685
60,image7113.npz,6,1.1053591966629028,True,0,3.46586012840271
61,image890.npz,6,-0.4635032415390014,True,0,0.0544173531234264
62,image11661.npz,6,-1.0571233034133911,False,0,-0.0099169956520199
64,image11815.npz,6,0.3816185295581817,False,1,0.9735329151153564
65,image13572.npz,6,2.209620475769043,True,1,3.169743776321411
66,image13105.npz,6,0.1823614239692688,True,0,0.6176208853721619
68,image12812.npz,6,-0.4814265668392181,False,1,-0.0909312590956687
69,image18732.npz,6,-0.906610667705536,False,0,-0.1738624721765518
70,image7704.npz,6,-1.1782939434051514,False,0,-0.1738624721765518
71,image11839.npz,6,0.4095335006713867,False,1,0.2723540365695953
72,image8747.npz,6,-1.063374400138855,False,0,0.1435079872608184
73,image19591.npz,6,-1.1313544511795044,False,0,-0.1738624721765518
74,image11242.npz,6,-1.043964147567749,False,0,-0.1738624721765518
75,image3947.npz,6,-0.6233276724815369,False,0,-0.1738624721765518
77,image6240.npz,6,-0.8011965155601501,False,0,-0.1738624721765518
78,image6067.npz,6,-0.367856502532959,False,1,0.1793228834867477
80,image8792.npz,6,0.2097659856081009,False,1,1.4414814710617063
81,image18551.npz,6,0.206417515873909,False,1,1.5131845474243164
82,image6724.npz,6,0.9367769956588744,True,0,2.417215347290039
84,image19467.npz,6,-0.0526521876454353,True,0,2.0046675205230717
85,image11840.npz,6,-0.1643739640712738,False,1,1.92754065990448
86,image18263.npz,6,-0.2123688608407974,False,1,-0.1665908694267273
89,image6764.npz,6,-0.8713281750679016,False,0,-0.1346974074840545
90,image1239.npz,6,-0.9322209358215332,False,0,-0.1738624721765518
91,image659.npz,6,-0.8182835578918457,False,0,-0.1041207537055015
92,image8365.npz,6,-0.9095158576965332,False,0,-0.1738624721765518
93,image5756.npz,6,-0.8352324962615967,False,0,-0.1738624721765518
94,image13263.npz,6,-0.65778648853302,False,0,-0.1738624721765518
95,image2445.npz,6,-1.1422102451324463,False,0,-0.1738624721765518
96,image7653.npz,6,-0.85293048620224,False,0,-0.1738624721765518
98,image16981.npz,6,-0.8269060850143433,False,0,-0.1738624721765518
100,image6021.npz,6,-0.7436054348945618,False,0,-0.1738624721765518
